Bike_Type,Age,Gender,Occupation,Distance_Travelled(km),Weather,Day_of_Week,Time_of_Day,Temperature(C),Humidity(%),Is_Holiday,Is_Weekend,Purpose_of_Ride,Satisfaction_Level(of 5),Helmet_Used,Traffic_Intensity(of 10),Road_Condition,User_Experience
bmx,67,Female,Retired,4.12,sunny,Friday,morning,25.7,48,TRUE,TRUE,Errands,4,FALSE,4,Good,Neutral
bmx,26,Other,Unemployed,4.14,cloudy,Tuesday,afternoon,22.5,80,TRUE,TRUE,Errands,5,FALSE,5,Good,Negative
hill,68,Female,Retired,2.46,rainy,Wednesday,morning,11.6,30,FALSE,FALSE,Errands,3,TRUE,2,Fair,Neutral
normal,43,Male,Unemployed,4.58,cloudy,Tuesday,evening,33.4,90,FALSE,FALSE,Errands,2,TRUE,2,Good,Neutral
bmx,52,Other,Retired,0.35,sunny,Thursday,night,24.9,76,TRUE,TRUE,Errands,1,TRUE,6,Fair,Negative
normal,55,Male,Professional,1.24,rainy,Wednesday,morning,27.3,88,FALSE,FALSE,Leisure,5,TRUE,10,Poor,Positive
normal,49,Other,Unemployed,1.87,cloudy,Sunday,afternoon,22.1,51,FALSE,TRUE,Exercise,4,FALSE,1,Fair,Neutral
bmx,46,Other,Professional,3.33,rainy,Saturday,afternoon,23.6,63,TRUE,FALSE,Leisure,5,FALSE,9,Poor,Positive
hill,28,Female,Student,0.56,sunny,Sunday,afternoon,34.2,77,TRUE,TRUE,Exercise,2,TRUE,2,Fair,Positive
bmx,67,Male,Unemployed,4.59,rainy,Friday,night,22.6,63,TRUE,FALSE,Commute,2,FALSE,7,Poor,Negative
bmx,64,Other,Unemployed,0.04,sunny,Monday,morning,23.3,54,TRUE,TRUE,Exercise,1,TRUE,9,Good,Positive
bmx,62,Other,Student,1.39,rainy,Sunday,morning,21.3,84,FALSE,TRUE,Commute,5,TRUE,1,Poor,Positive
normal,23,Male,Professional,0.47,cloudy,Tuesday,morning,35,32,FALSE,FALSE,Commute,5,TRUE,10,Poor,Positive
hill,23,Other,Professional,1,sunny,Tuesday,evening,25.8,66,TRUE,FALSE,Errands,3,TRUE,7,Good,Neutral
hill,49,Other,Professional,0.19,rainy,Wednesday,morning,14.8,36,TRUE,FALSE,Leisure,3,TRUE,10,Good,Positive
normal,43,Female,Retired,0.65,cloudy,Friday,morning,25,84,TRUE,TRUE,Errands,5,FALSE,9,Fair,Neutral
hill,65,Other,Unemployed,4.92,sunny,Friday,evening,23.3,72,FALSE,TRUE,Errands,5,FALSE,8,Poor,Neutral
normal,55,Male,Student,0.97,rainy,Wednesday,morning,24.7,57,FALSE,FALSE,Leisure,1,TRUE,9,Fair,Negative
normal,39,Other,Retired,2.97,rainy,Friday,morning,28.5,63,FALSE,FALSE,Exercise,4,FALSE,3,Good,Negative
bmx,63,Female,Retired,2.99,rainy,Monday,evening,21.3,65,FALSE,TRUE,Exercise,3,FALSE,2,Poor,Neutral
bmx,54,Male,Unemployed,4.98,sunny,Thursday,afternoon,11,72,FALSE,FALSE,Leisure,1,FALSE,9,Poor,Neutral
hill,67,Female,Professional,1.68,sunny,Thursday,morning,34.8,83,TRUE,TRUE,Commute,1,FALSE,10,Fair,Negative
normal,41,Male,Professional,2.34,rainy,Tuesday,evening,23.1,80,TRUE,TRUE,Exercise,4,FALSE,1,Good,Negative
normal,50,Male,Unemployed,0.11,rainy,Thursday,evening,15.7,36,TRUE,TRUE,Commute,4,FALSE,10,Fair,Neutral
bmx,26,Male,Retired,4.97,cloudy,Friday,afternoon,22,36,TRUE,FALSE,Commute,1,TRUE,7,Poor,Negative
hill,59,Male,Retired,2.13,cloudy,Wednesday,morning,18.2,78,FALSE,TRUE,Leisure,5,TRUE,4,Poor,Neutral
bmx,56,Female,Unemployed,0.01,sunny,Sunday,morning,10.4,53,TRUE,TRUE,Commute,1,TRUE,6,Poor,Negative
normal,35,Female,Unemployed,1.65,cloudy,Tuesday,night,18.9,36,TRUE,TRUE,Exercise,5,FALSE,10,Fair,Neutral
hill,70,Female,Student,1.52,sunny,Tuesday,afternoon,16.4,57,TRUE,TRUE,Commute,4,FALSE,1,Good,Negative
hill,36,Female,Unemployed,4.4,rainy,Friday,afternoon,20.9,71,FALSE,TRUE,Exercise,1,FALSE,1,Poor,Negative
hill,55,Other,Professional,1.89,rainy,Tuesday,morning,34.1,66,TRUE,TRUE,Errands,2,TRUE,8,Good,Positive
bmx,58,Male,Unemployed,2.22,cloudy,Saturday,night,15.2,57,TRUE,TRUE,Errands,2,TRUE,1,Fair,Negative
normal,67,Female,Professional,2.09,rainy,Friday,afternoon,30.5,51,FALSE,TRUE,Leisure,1,TRUE,4,Good,Negative
normal,39,Other,Professional,3.82,rainy,Friday,evening,33.3,75,FALSE,FALSE,Exercise,1,TRUE,5,Poor,Neutral
hill,68,Female,Retired,0.28,sunny,Friday,night,15.4,32,FALSE,TRUE,Commute,2,FALSE,2,Fair,Positive
bmx,64,Female,Student,1.61,cloudy,Monday,morning,30.7,81,TRUE,TRUE,Errands,5,TRUE,10,Poor,Positive
normal,23,Female,Retired,4.6,sunny,Tuesday,night,18,34,FALSE,TRUE,Errands,2,TRUE,9,Poor,Neutral
hill,56,Male,Retired,2.54,sunny,Monday,afternoon,17.6,46,TRUE,FALSE,Commute,1,FALSE,3,Fair,Neutral
normal,28,Other,Professional,3.55,sunny,Monday,night,31.6,40,TRUE,TRUE,Commute,4,FALSE,6,Good,Negative
normal,24,Female,Professional,1.19,sunny,Saturday,morning,33.3,54,FALSE,FALSE,Commute,2,FALSE,9,Poor,Positive
bmx,39,Male,Unemployed,3.37,rainy,Monday,evening,33.9,33,FALSE,FALSE,Commute,2,FALSE,1,Good,Neutral
bmx,37,Female,Professional,3.08,cloudy,Sunday,evening,18.7,73,FALSE,TRUE,Exercise,1,FALSE,10,Fair,Negative
bmx,24,Male,Unemployed,0.48,rainy,Saturday,evening,22.3,70,FALSE,TRUE,Leisure,2,TRUE,7,Fair,Positive
normal,46,Male,Student,3.56,sunny,Monday,evening,13.5,66,FALSE,FALSE,Exercise,5,TRUE,10,Good,Neutral
bmx,53,Male,Student,2.56,sunny,Tuesday,morning,20.6,63,TRUE,TRUE,Exercise,5,FALSE,7,Fair,Neutral
hill,47,Female,Student,2.74,cloudy,Thursday,evening,34.6,72,TRUE,FALSE,Errands,5,TRUE,1,Fair,Negative
hill,32,Other,Student,0.56,sunny,Tuesday,morning,10.1,68,TRUE,FALSE,Leisure,3,FALSE,6,Poor,Negative
normal,19,Female,Student,1.41,cloudy,Thursday,night,20.2,83,TRUE,TRUE,Exercise,4,FALSE,9,Fair,Neutral
hill,58,Other,Unemployed,3.34,cloudy,Thursday,evening,14.2,87,TRUE,FALSE,Errands,2,FALSE,1,Poor,Positive
hill,62,Other,Retired,1.28,sunny,Wednesday,afternoon,10.1,73,TRUE,FALSE,Commute,1,TRUE,1,Fair,Positive
normal,44,Male,Student,2.21,cloudy,Tuesday,morning,33.9,53,TRUE,TRUE,Commute,5,FALSE,2,Good,Neutral
normal,56,Female,Unemployed,3.7,sunny,Saturday,night,21.5,42,FALSE,TRUE,Exercise,2,TRUE,3,Poor,Neutral
hill,56,Other,Unemployed,0.14,cloudy,Thursday,night,24.3,52,TRUE,FALSE,Errands,2,TRUE,2,Fair,Negative
bmx,50,Female,Unemployed,3.39,cloudy,Sunday,night,12.7,51,TRUE,FALSE,Leisure,3,FALSE,4,Fair,Negative
normal,41,Female,Professional,0.39,rainy,Thursday,evening,32.3,57,FALSE,FALSE,Exercise,3,TRUE,10,Fair,Negative
bmx,50,Other,Student,3.29,rainy,Friday,morning,18.3,55,TRUE,TRUE,Commute,5,TRUE,10,Poor,Negative
hill,29,Male,Student,3.43,cloudy,Tuesday,evening,30.9,30,TRUE,FALSE,Exercise,2,FALSE,10,Poor,Negative
hill,50,Female,Professional,2.01,rainy,Saturday,afternoon,19.5,41,TRUE,TRUE,Errands,2,TRUE,4,Good,Negative
bmx,26,Other,Unemployed,2.89,rainy,Wednesday,morning,23.3,50,TRUE,FALSE,Exercise,3,TRUE,8,Good,Negative
normal,69,Female,Professional,1.6,sunny,Sunday,afternoon,26.9,88,TRUE,FALSE,Errands,5,TRUE,9,Fair,Negative
hill,33,Female,Unemployed,2.86,rainy,Sunday,evening,14.2,61,FALSE,FALSE,Leisure,5,TRUE,9,Poor,Positive
hill,37,Other,Unemployed,0.68,sunny,Saturday,afternoon,28,48,TRUE,TRUE,Exercise,3,TRUE,2,Good,Positive
bmx,29,Female,Professional,2.97,cloudy,Friday,afternoon,21.6,32,TRUE,FALSE,Exercise,2,TRUE,4,Poor,Negative
bmx,50,Female,Student,1.53,rainy,Thursday,evening,28.3,40,TRUE,TRUE,Errands,2,TRUE,7,Good,Negative
normal,66,Male,Professional,0.87,cloudy,Friday,evening,20.7,56,FALSE,TRUE,Commute,5,FALSE,10,Fair,Negative
normal,27,Male,Professional,3.81,cloudy,Saturday,night,24.1,75,TRUE,TRUE,Exercise,1,TRUE,10,Good,Positive
hill,19,Female,Student,2.97,rainy,Sunday,evening,18.5,42,TRUE,TRUE,Exercise,2,FALSE,6,Poor,Neutral
hill,67,Female,Unemployed,2.97,sunny,Tuesday,morning,34.2,67,FALSE,FALSE,Leisure,1,TRUE,5,Good,Negative
normal,18,Male,Retired,3.96,sunny,Thursday,afternoon,29.4,66,TRUE,FALSE,Leisure,5,TRUE,1,Poor,Negative
bmx,69,Other,Student,1.63,cloudy,Friday,evening,34.6,47,TRUE,FALSE,Commute,1,FALSE,6,Good,Negative
bmx,44,Other,Unemployed,0.9,rainy,Saturday,afternoon,27.4,88,FALSE,FALSE,Errands,1,FALSE,6,Fair,Positive
hill,33,Male,Professional,0.47,rainy,Wednesday,night,12.5,63,FALSE,FALSE,Exercise,3,FALSE,3,Poor,Negative
normal,31,Other,Retired,4.4,sunny,Wednesday,night,19.4,63,FALSE,TRUE,Exercise,2,TRUE,4,Poor,Negative
bmx,64,Female,Unemployed,0.36,cloudy,Wednesday,afternoon,22.5,82,TRUE,FALSE,Leisure,2,FALSE,6,Poor,Negative
hill,23,Female,Student,1.4,cloudy,Sunday,afternoon,18.4,87,TRUE,FALSE,Exercise,3,FALSE,3,Good,Positive
bmx,23,Female,Retired,4.84,rainy,Thursday,night,20.3,55,FALSE,FALSE,Errands,4,TRUE,2,Fair,Positive
normal,47,Male,Student,4.25,cloudy,Thursday,night,34.7,34,TRUE,TRUE,Leisure,1,TRUE,8,Good,Neutral
hill,52,Male,Professional,1.54,sunny,Thursday,morning,11.6,69,FALSE,TRUE,Exercise,3,TRUE,7,Poor,Negative
hill,52,Female,Professional,0.29,sunny,Tuesday,evening,27.2,50,FALSE,FALSE,Leisure,4,TRUE,1,Fair,Negative
hill,56,Other,Retired,0.94,cloudy,Tuesday,evening,13.2,30,FALSE,FALSE,Errands,4,TRUE,4,Good,Positive
normal,39,Male,Retired,3.77,rainy,Monday,night,33,83,TRUE,TRUE,Errands,1,FALSE,5,Poor,Negative
hill,33,Female,Retired,4.76,rainy,Friday,night,22.8,57,TRUE,TRUE,Commute,1,TRUE,7,Poor,Negative
hill,33,Female,Retired,0.48,rainy,Tuesday,afternoon,31.8,80,FALSE,TRUE,Errands,3,TRUE,5,Good,Negative
normal,40,Other,Unemployed,3.46,cloudy,Wednesday,evening,11.9,86,TRUE,TRUE,Commute,4,FALSE,10,Poor,Positive
normal,64,Female,Student,3.46,rainy,Saturday,evening,17.6,61,FALSE,TRUE,Leisure,1,TRUE,5,Poor,Neutral
hill,63,Other,Student,0.19,rainy,Saturday,morning,26.5,85,FALSE,FALSE,Leisure,2,FALSE,6,Good,Neutral
normal,61,Male,Unemployed,1.71,rainy,Friday,morning,13.8,48,TRUE,FALSE,Exercise,1,TRUE,8,Fair,Negative
hill,46,Male,Retired,3.44,rainy,Sunday,night,11.9,82,TRUE,FALSE,Leisure,1,FALSE,2,Poor,Positive
bmx,34,Other,Professional,1.83,sunny,Saturday,morning,23.4,74,TRUE,TRUE,Leisure,3,FALSE,7,Fair,Neutral
bmx,23,Male,Retired,1.84,rainy,Friday,night,11.9,39,TRUE,FALSE,Errands,3,TRUE,6,Poor,Neutral
bmx,35,Other,Unemployed,0.27,cloudy,Thursday,afternoon,12,43,FALSE,FALSE,Errands,1,TRUE,3,Poor,Negative
hill,62,Female,Student,2.82,sunny,Friday,evening,24,75,FALSE,FALSE,Commute,1,FALSE,9,Poor,Positive
bmx,44,Other,Unemployed,2.16,sunny,Wednesday,afternoon,24.3,55,FALSE,TRUE,Exercise,4,FALSE,7,Good,Positive
hill,70,Female,Retired,4.46,rainy,Tuesday,evening,18,55,FALSE,FALSE,Leisure,5,TRUE,4,Poor,Positive
normal,26,Female,Professional,0.94,sunny,Monday,morning,12.7,79,FALSE,FALSE,Exercise,1,FALSE,1,Good,Neutral
hill,67,Female,Student,4.92,sunny,Saturday,afternoon,32.6,68,TRUE,TRUE,Leisure,5,FALSE,4,Fair,Neutral
hill,67,Other,Retired,2.94,cloudy,Tuesday,evening,18.2,88,FALSE,TRUE,Commute,2,TRUE,2,Good,Neutral
hill,56,Female,Retired,2.9,sunny,Tuesday,evening,18,42,FALSE,TRUE,Exercise,4,TRUE,10,Fair,Neutral
bmx,49,Female,Professional,0.25,cloudy,Monday,morning,33.1,30,FALSE,FALSE,Commute,3,FALSE,1,Poor,Neutral
hill,38,Other,Unemployed,3.87,sunny,Tuesday,afternoon,31.7,48,FALSE,FALSE,Exercise,1,TRUE,1,Fair,Positive
normal,50,Male,Retired,3.32,cloudy,Saturday,evening,23.3,74,TRUE,TRUE,Errands,5,TRUE,10,Good,Neutral
hill,63,Male,Unemployed,3.5,cloudy,Friday,afternoon,29,75,FALSE,TRUE,Errands,3,FALSE,2,Poor,Positive
hill,55,Female,Student,0.16,rainy,Tuesday,night,22,45,TRUE,FALSE,Exercise,5,FALSE,1,Good,Neutral
bmx,31,Female,Unemployed,2.67,cloudy,Tuesday,afternoon,21.3,47,FALSE,FALSE,Commute,3,TRUE,7,Poor,Positive
normal,23,Male,Retired,3.34,cloudy,Thursday,afternoon,11.3,43,FALSE,FALSE,Exercise,3,FALSE,3,Good,Neutral
hill,55,Female,Student,1.51,cloudy,Tuesday,afternoon,13.1,90,TRUE,FALSE,Errands,4,FALSE,9,Fair,Positive
hill,33,Other,Student,1.06,sunny,Thursday,night,14.2,42,TRUE,FALSE,Errands,2,FALSE,2,Poor,Neutral
normal,57,Other,Retired,4.81,sunny,Monday,morning,12.8,58,FALSE,FALSE,Leisure,3,FALSE,8,Good,Positive
bmx,47,Male,Student,2.21,sunny,Friday,night,29.2,88,FALSE,FALSE,Exercise,3,FALSE,5,Fair,Neutral
normal,34,Other,Retired,3.83,cloudy,Tuesday,evening,24.7,66,TRUE,FALSE,Errands,3,FALSE,4,Good,Neutral
bmx,67,Male,Professional,2.34,cloudy,Tuesday,night,34.1,53,TRUE,TRUE,Commute,3,TRUE,5,Fair,Neutral
hill,25,Other,Student,2.8,rainy,Saturday,afternoon,22.1,61,FALSE,FALSE,Commute,4,TRUE,6,Poor,Positive
normal,60,Female,Retired,3.46,rainy,Friday,afternoon,17.8,81,TRUE,FALSE,Exercise,2,FALSE,3,Poor,Positive
bmx,70,Other,Student,0.96,sunny,Saturday,afternoon,33.5,71,TRUE,TRUE,Errands,2,FALSE,3,Poor,Negative
normal,30,Other,Unemployed,1.59,sunny,Friday,evening,30.6,31,FALSE,TRUE,Commute,5,FALSE,3,Good,Negative
normal,22,Female,Student,3.45,cloudy,Friday,night,31.7,66,FALSE,TRUE,Commute,5,FALSE,3,Fair,Negative
bmx,59,Female,Unemployed,2.52,cloudy,Sunday,evening,28.3,47,FALSE,FALSE,Exercise,5,TRUE,3,Fair,Positive
hill,24,Female,Student,1.47,cloudy,Saturday,night,15.2,82,TRUE,TRUE,Commute,2,FALSE,7,Fair,Negative
bmx,32,Female,Professional,2.27,cloudy,Tuesday,evening,34.1,88,FALSE,FALSE,Commute,1,FALSE,3,Fair,Neutral
normal,65,Other,Professional,0.42,rainy,Monday,evening,12.8,59,TRUE,TRUE,Commute,4,FALSE,4,Fair,Neutral
hill,51,Male,Student,0.31,cloudy,Friday,afternoon,28.7,83,TRUE,TRUE,Errands,2,TRUE,4,Fair,Positive
bmx,59,Male,Retired,4.03,sunny,Wednesday,afternoon,32.8,83,TRUE,FALSE,Errands,1,FALSE,1,Good,Neutral
normal,65,Male,Student,2.49,rainy,Saturday,afternoon,14.1,42,FALSE,FALSE,Leisure,2,TRUE,5,Fair,Negative
normal,56,Male,Student,1.6,rainy,Monday,afternoon,19,87,TRUE,TRUE,Commute,2,TRUE,10,Good,Positive
hill,28,Female,Professional,1.52,cloudy,Friday,evening,10.4,39,TRUE,TRUE,Commute,4,FALSE,9,Poor,Neutral
hill,64,Other,Unemployed,3.15,cloudy,Tuesday,morning,32.8,76,FALSE,FALSE,Exercise,3,TRUE,3,Good,Neutral
hill,50,Female,Unemployed,2.53,sunny,Tuesday,night,17.8,81,TRUE,TRUE,Commute,3,TRUE,2,Good,Positive
normal,70,Female,Retired,4.27,rainy,Tuesday,evening,16.1,65,FALSE,FALSE,Commute,2,TRUE,2,Good,Positive
hill,63,Female,Student,4.43,rainy,Wednesday,evening,28,37,TRUE,FALSE,Errands,4,FALSE,5,Good,Negative
bmx,37,Other,Student,4.39,sunny,Sunday,morning,26.7,64,TRUE,TRUE,Leisure,3,TRUE,5,Fair,Neutral
hill,69,Male,Student,0.15,rainy,Thursday,evening,22,54,TRUE,FALSE,Commute,3,TRUE,8,Poor,Negative
hill,55,Female,Unemployed,3.08,sunny,Tuesday,afternoon,15.5,53,TRUE,TRUE,Errands,2,FALSE,7,Poor,Neutral
hill,36,Female,Unemployed,1.25,rainy,Sunday,evening,29.3,56,TRUE,TRUE,Leisure,3,TRUE,2,Poor,Negative
normal,37,Female,Professional,0.81,cloudy,Monday,evening,34.5,64,FALSE,TRUE,Leisure,2,TRUE,8,Fair,Negative
bmx,59,Other,Retired,0.34,rainy,Thursday,morning,26.3,63,FALSE,TRUE,Errands,1,FALSE,6,Good,Neutral
normal,36,Other,Professional,1.86,sunny,Sunday,morning,31.4,77,FALSE,FALSE,Errands,5,FALSE,2,Good,Neutral
hill,18,Male,Unemployed,4.54,cloudy,Saturday,morning,26.3,48,TRUE,TRUE,Errands,4,TRUE,3,Good,Neutral
bmx,62,Other,Professional,0.06,rainy,Sunday,afternoon,23.8,69,FALSE,TRUE,Exercise,5,FALSE,5,Good,Neutral
normal,57,Other,Professional,3.5,cloudy,Monday,night,32.4,51,FALSE,TRUE,Commute,4,TRUE,1,Poor,Positive
hill,37,Male,Professional,0.69,rainy,Monday,afternoon,34.2,66,TRUE,FALSE,Errands,4,TRUE,5,Fair,Negative
bmx,39,Other,Student,0.28,rainy,Sunday,evening,29,89,TRUE,FALSE,Leisure,4,TRUE,4,Poor,Neutral
bmx,44,Other,Unemployed,1.35,sunny,Thursday,morning,27.1,63,TRUE,TRUE,Errands,4,TRUE,4,Good,Positive
normal,33,Male,Professional,1.21,sunny,Wednesday,evening,17.9,42,TRUE,FALSE,Errands,1,FALSE,10,Poor,Negative
hill,24,Male,Unemployed,1.38,rainy,Monday,night,16.4,41,TRUE,TRUE,Errands,4,FALSE,10,Good,Neutral
hill,28,Male,Professional,1.4,cloudy,Saturday,evening,33,54,FALSE,FALSE,Commute,4,TRUE,9,Poor,Neutral
hill,23,Other,Unemployed,2.49,rainy,Thursday,night,29,85,TRUE,TRUE,Leisure,5,FALSE,4,Fair,Positive
normal,68,Male,Retired,0.2,sunny,Wednesday,night,16.3,77,FALSE,FALSE,Commute,5,FALSE,6,Poor,Positive
normal,47,Female,Professional,3.97,sunny,Saturday,evening,19,90,TRUE,TRUE,Commute,1,TRUE,3,Good,Positive
bmx,59,Male,Retired,4.5,cloudy,Friday,morning,17.8,45,TRUE,TRUE,Commute,2,TRUE,7,Poor,Neutral
normal,59,Male,Professional,4.48,rainy,Wednesday,morning,16.6,78,FALSE,FALSE,Commute,3,FALSE,4,Good,Negative
bmx,44,Male,Professional,4.07,sunny,Wednesday,evening,34.6,88,FALSE,TRUE,Exercise,4,TRUE,8,Fair,Positive
bmx,42,Other,Student,1.61,rainy,Wednesday,afternoon,10.7,36,TRUE,TRUE,Exercise,1,TRUE,2,Poor,Neutral
bmx,30,Other,Professional,1.36,rainy,Sunday,afternoon,32.1,36,FALSE,FALSE,Exercise,4,TRUE,5,Poor,Neutral
hill,21,Female,Student,3.98,sunny,Thursday,afternoon,17.5,52,TRUE,TRUE,Exercise,2,TRUE,1,Fair,Positive
bmx,58,Female,Student,3.58,sunny,Friday,afternoon,33.9,50,FALSE,TRUE,Errands,5,TRUE,10,Fair,Negative
hill,48,Other,Professional,3.04,sunny,Wednesday,afternoon,26.6,88,FALSE,TRUE,Errands,1,FALSE,2,Fair,Positive
hill,52,Male,Professional,2.54,rainy,Friday,afternoon,20.4,40,TRUE,FALSE,Leisure,3,TRUE,3,Good,Positive
hill,60,Female,Unemployed,1.46,cloudy,Friday,evening,34,32,FALSE,FALSE,Exercise,5,FALSE,3,Good,Neutral
normal,64,Female,Unemployed,1.1,rainy,Friday,night,21.1,74,TRUE,TRUE,Errands,3,TRUE,2,Good,Positive
normal,58,Male,Unemployed,3.75,cloudy,Tuesday,afternoon,11.4,60,TRUE,TRUE,Exercise,1,TRUE,6,Good,Negative
normal,65,Female,Professional,3.46,sunny,Saturday,evening,10.2,44,TRUE,TRUE,Leisure,5,FALSE,4,Good,Positive
normal,28,Male,Retired,3.74,sunny,Sunday,morning,26.2,75,TRUE,FALSE,Exercise,5,FALSE,1,Good,Negative
bmx,25,Other,Retired,2.89,sunny,Wednesday,morning,23.4,78,TRUE,TRUE,Exercise,3,FALSE,8,Fair,Negative
bmx,68,Male,Professional,3.42,cloudy,Friday,morning,16.1,41,FALSE,FALSE,Errands,5,TRUE,7,Fair,Neutral
normal,37,Female,Student,2.07,cloudy,Monday,night,10.2,47,FALSE,TRUE,Commute,3,FALSE,6,Fair,Negative
bmx,51,Female,Retired,4.75,sunny,Wednesday,afternoon,25.4,36,FALSE,TRUE,Leisure,4,FALSE,1,Poor,Positive
bmx,37,Other,Retired,3.28,cloudy,Thursday,morning,13.5,63,TRUE,TRUE,Leisure,1,FALSE,9,Good,Positive
hill,32,Female,Professional,1.8,rainy,Wednesday,night,26.6,61,FALSE,FALSE,Commute,5,TRUE,8,Good,Neutral
hill,51,Other,Retired,3.3,sunny,Tuesday,night,26.6,57,FALSE,FALSE,Errands,3,TRUE,9,Poor,Negative
bmx,18,Other,Retired,1.24,cloudy,Thursday,afternoon,26.8,87,FALSE,FALSE,Commute,1,FALSE,3,Poor,Neutral
bmx,67,Male,Professional,3.78,cloudy,Sunday,afternoon,25.5,60,FALSE,TRUE,Errands,3,FALSE,8,Fair,Negative
bmx,42,Male,Unemployed,0.52,cloudy,Wednesday,morning,21.4,47,FALSE,FALSE,Errands,2,TRUE,3,Poor,Neutral
bmx,52,Female,Unemployed,3.97,sunny,Wednesday,evening,28.5,89,TRUE,TRUE,Leisure,5,TRUE,2,Good,Positive
hill,43,Other,Student,0.25,sunny,Tuesday,afternoon,30.6,48,FALSE,TRUE,Errands,1,FALSE,10,Good,Neutral
hill,27,Male,Student,3.27,sunny,Sunday,morning,18.8,38,FALSE,FALSE,Errands,4,FALSE,6,Good,Positive
normal,40,Other,Professional,4.33,cloudy,Monday,evening,16.6,32,FALSE,TRUE,Commute,3,FALSE,5,Poor,Positive
bmx,41,Female,Unemployed,2.35,sunny,Sunday,morning,21.1,82,FALSE,FALSE,Commute,1,TRUE,9,Poor,Positive
bmx,56,Other,Unemployed,3.51,cloudy,Monday,night,12.3,78,FALSE,TRUE,Commute,5,TRUE,8,Good,Neutral
hill,57,Female,Unemployed,1.57,sunny,Monday,morning,16.2,88,TRUE,FALSE,Exercise,4,FALSE,3,Good,Positive
bmx,35,Male,Student,0.41,cloudy,Wednesday,evening,12.5,54,FALSE,TRUE,Errands,2,FALSE,9,Good,Neutral
normal,63,Male,Professional,2.89,sunny,Monday,morning,28.3,44,TRUE,TRUE,Commute,3,FALSE,3,Fair,Neutral
normal,28,Other,Retired,3.31,cloudy,Monday,morning,14.7,63,TRUE,FALSE,Errands,5,FALSE,9,Poor,Positive
normal,19,Female,Student,0.75,sunny,Sunday,afternoon,33.3,63,TRUE,TRUE,Exercise,3,FALSE,10,Poor,Positive
normal,26,Other,Unemployed,0.96,sunny,Wednesday,morning,18.6,33,FALSE,TRUE,Exercise,3,FALSE,1,Fair,Negative
hill,55,Female,Student,0.5,sunny,Friday,night,21.4,72,FALSE,TRUE,Exercise,5,TRUE,2,Fair,Negative
hill,66,Male,Retired,0.55,sunny,Tuesday,evening,23.4,83,FALSE,TRUE,Leisure,4,TRUE,7,Poor,Negative
hill,36,Male,Retired,3.84,sunny,Thursday,evening,33.6,89,TRUE,FALSE,Exercise,5,TRUE,4,Good,Neutral
hill,35,Other,Student,0.55,sunny,Wednesday,afternoon,22.6,55,FALSE,TRUE,Exercise,2,TRUE,6,Fair,Negative
normal,43,Male,Retired,2.68,rainy,Wednesday,morning,30.4,37,TRUE,TRUE,Leisure,2,TRUE,3,Good,Positive
bmx,20,Male,Professional,3.64,cloudy,Wednesday,night,23.2,81,TRUE,TRUE,Commute,3,TRUE,1,Good,Neutral
bmx,26,Male,Professional,2.92,rainy,Friday,afternoon,23.3,63,TRUE,TRUE,Exercise,3,TRUE,5,Poor,Negative
bmx,33,Female,Unemployed,0.83,rainy,Thursday,evening,25.1,62,TRUE,TRUE,Errands,3,FALSE,7,Fair,Neutral
hill,30,Female,Unemployed,2.53,cloudy,Wednesday,morning,32.4,77,FALSE,FALSE,Exercise,3,FALSE,5,Fair,Neutral
normal,42,Other,Retired,3.89,cloudy,Friday,morning,34.9,85,FALSE,TRUE,Commute,2,FALSE,8,Good,Neutral
bmx,70,Female,Student,1.24,cloudy,Friday,evening,17.8,33,FALSE,FALSE,Exercise,5,FALSE,9,Good,Neutral
hill,34,Other,Unemployed,1.48,sunny,Friday,night,11.1,34,FALSE,FALSE,Leisure,2,FALSE,10,Fair,Positive
normal,21,Other,Professional,0.38,sunny,Monday,morning,18.1,36,TRUE,FALSE,Errands,5,FALSE,6,Poor,Positive
bmx,19,Female,Unemployed,1.25,sunny,Saturday,morning,23,87,TRUE,FALSE,Leisure,1,FALSE,5,Fair,Neutral
hill,42,Other,Professional,2.51,cloudy,Wednesday,afternoon,18.6,61,FALSE,TRUE,Commute,2,TRUE,8,Poor,Negative
normal,65,Other,Professional,4.85,sunny,Saturday,morning,29.8,61,TRUE,TRUE,Leisure,2,TRUE,6,Fair,Negative
bmx,24,Male,Professional,0.76,sunny,Saturday,night,32.3,35,FALSE,TRUE,Leisure,5,TRUE,1,Fair,Positive
hill,47,Male,Unemployed,4.45,sunny,Saturday,afternoon,11.4,61,FALSE,FALSE,Errands,4,TRUE,3,Good,Neutral
hill,18,Male,Student,3.11,sunny,Tuesday,night,24.4,81,FALSE,TRUE,Exercise,1,FALSE,2,Poor,Positive
bmx,23,Other,Retired,0.16,sunny,Monday,night,20.4,51,TRUE,TRUE,Exercise,2,FALSE,10,Fair,Negative
normal,32,Female,Professional,1.65,cloudy,Wednesday,morning,28.2,76,TRUE,FALSE,Exercise,1,FALSE,5,Fair,Positive
bmx,50,Male,Retired,1.05,cloudy,Friday,evening,20.4,34,TRUE,TRUE,Errands,3,FALSE,8,Poor,Neutral
normal,47,Female,Unemployed,1.56,cloudy,Thursday,evening,29,79,FALSE,TRUE,Leisure,4,FALSE,1,Good,Negative
bmx,57,Other,Unemployed,2.46,cloudy,Tuesday,evening,17.1,61,FALSE,FALSE,Leisure,4,FALSE,2,Fair,Positive
